source_x_coordinate,source_y_coordinate
3.073,2.621
waypoint_number,x_coordinate,y_coordinate,signal_strength
0,0.548,0.311,-39
1,0.499,0.452,-39
2,0.506,0.733,-35
3,0.498,0.966,-26
4,0.505,1.202,-25
5,0.499,1.483,-28
6,0.505,1.721,-36
7,0.495,1.958,-36
8,0.514,2.235,-32
9,0.497,2.47,-38
10,0.706,2.513,-39
11,0.771,2.342,-32
12,0.761,2.061,-30
13,0.756,1.826,-31
14,0.753,1.59,-27
15,0.755,1.353,-30
16,0.755,1.07,-26
17,0.752,0.833,-29
18,0.75,0.599,-33
19,0.76,0.317,-31
20,0.996,0.288,-40
21,1.05,0.488,-29
22,1.045,0.721,-26
23,1.047,0.954,-30
24,1.045,1.236,-30
25,1.048,1.467,-31
26,1.046,1.705,-29
27,1.05,1.982,-31
28,1.048,2.193,-33
29,1.049,2.456,-32
30,1.277,2.508,-25
31,1.326,2.348,-28
32,1.307,2.071,-28
33,1.299,1.839,-26
34,1.309,1.558,-32
35,1.298,1.325,-26
36,1.302,1.094,-24
37,1.293,0.814,-27
38,1.301,0.583,-35
39,1.297,0.354,-30
40,1.518,0.294,-27
41,1.565,0.474,-24
42,1.604,0.704,-26
43,1.582,0.955,-33
44,1.597,1.239,-28
45,1.581,1.47,-23
46,1.593,1.705,-31
47,1.588,1.985,-30
48,1.587,2.221,-24
49,1.592,2.458,-43
50,1.816,2.522,-32
51,1.834,2.349,-26
52,1.821,2.071,-21
53,1.83,1.821,-22
54,1.84,1.589,-21
55,1.839,1.352,-30
56,1.842,1.074,-26
57,1.842,0.839,-24
58,1.838,0.559,-34
59,1.84,0.322,-31
60,2.059,0.282,-40
61,2.128,0.468,-25
62,2.134,0.699,-25
63,2.137,0.98,-24
64,2.134,1.222,-25
65,2.129,1.453,-21
66,2.127,1.736,-32
67,2.126,1.973,-23
68,2.133,2.205,-23
69,2.133,2.491,-30
70,2.351,2.516,-29
71,2.382,2.35,-23
72,2.377,2.097,-22
73,2.381,1.822,-19
74,2.388,1.588,-25
75,2.386,1.352,-24
76,2.386,1.075,-33
77,2.388,0.837,-35
78,2.387,0.603,-30
79,2.391,0.32,-27
80,2.626,0.286,-36
81,2.685,0.485,-37
82,2.677,0.723,-23
83,2.679,0.956,-28
84,2.677,1.238,-27
85,2.679,1.471,-24
86,2.67,1.707,-26
87,2.685,1.987,-19
88,2.676,2.218,-18
89,2.681,2.453,-12
90,2.682,2.458,-12
91,2.907,2.304,-10
92,2.918,2.075,-11
93,2.944,1.827,-19
94,2.929,1.595,-20
95,2.922,1.315,-24
96,2.918,1.085,-22
97,2.943,0.806,-28
98,2.925,0.573,-36
99,2.941,0.346,-30
