source_x_coordinate,source_y_coordinate
0.248,0.11
waypoint_number,x_coordinate,y_coordinate,signal_strength
0,0.751,0.263,-14
1,0.749,0.287,-18
2,0.488,0.461,-12
3,0.447,0.521,-13
4,0.44,0.657,-14
5,0.427,0.759,-16
6,0.437,0.897,-18
7,0.434,1.037,-22
8,0.434,1.133,-22
9,0.427,1.27,-25
10,0.438,1.407,-26
11,0.418,1.543,-25
12,0.435,1.633,-25
13,0.425,1.774,-34
14,0.433,1.912,-23
15,0.441,2.01,-34
16,0.426,2.146,-29
17,0.421,2.285,-27
18,0.415,2.423,-27
19,0.444,2.515,-29
20,0.519,2.586,-27
21,0.559,2.5,-32
22,0.54,2.408,-33
23,0.554,2.267,-32
24,0.551,2.13,-33
25,0.545,1.992,-29
26,0.571,1.914,-31
27,0.548,1.767,-27
28,0.564,1.637,-28
29,0.553,1.493,-29
30,0.558,1.401,-31
31,0.557,1.263,-26
32,0.549,1.128,-22
33,0.546,1.033,-18
34,0.542,0.898,-21
35,0.54,0.758,-20
36,0.563,0.619,-15
37,0.552,0.541,-16
38,0.553,0.388,-9
39,0.54,0.255,-4
40,0.629,0.198,-14
41,0.721,0.284,-21
42,0.712,0.419,-17
43,0.703,0.511,-20
44,0.701,0.653,-21
45,0.706,0.793,-23
46,0.701,0.885,-24
47,0.697,1.021,-22
48,0.691,1.159,-19
49,0.701,1.3,-27
50,0.687,1.391,-29
51,0.699,1.524,-23
52,0.7,1.669,-33
53,0.717,1.761,-28
54,0.7,1.895,-30
55,0.708,2.029,-26
56,0.698,2.162,-25
57,0.71,2.289,-46
58,0.693,2.423,-36
59,0.732,2.512,-36
60,0.777,2.587,-45
61,0.831,2.509,-38
62,0.834,2.376,-30
63,0.86,2.284,-29
64,0.822,2.151,-45
65,0.833,2.011,-31
66,0.834,1.873,-32
67,0.835,1.783,-29
68,0.821,1.649,-29
69,0.831,1.505,-29
70,0.834,1.41,-22
71,0.817,1.273,-22
72,0.826,1.138,-23
73,0.837,1.004,-28
74,0.816,0.91,-27
75,0.83,0.774,-33
76,0.813,0.638,-26
77,0.819,0.501,-18
78,0.826,0.409,-16
79,0.825,0.27,-15
80,0.898,0.196,-15
81,0.982,0.282,-25
82,0.968,0.423,-29
83,0.964,0.553,-19
84,0.992,0.641,-27
85,0.967,0.774,-23
86,0.975,0.914,-20
87,0.972,1.051,-28
88,0.989,1.143,-20
89,0.966,1.28,-22
90,0.975,1.42,-24
91,0.967,1.55,-27
92,0.949,1.645,-27
93,0.979,1.776,-26
94,0.974,1.909,-39
95,0.984,2.042,-25
96,0.967,2.17,-25
97,0.986,2.301,-31
98,0.953,2.388,-33
99,0.97,2.528,-38
100,1.049,2.598,-27
101,1.114,2.502,-46
102,1.098,2.364,-31
103,1.127,2.285,-27
104,1.113,2.132,-28
105,1.101,1.996,-34
106,1.106,1.915,-32
107,1.09,1.765,-25
108,1.091,1.624,-25
109,1.107,1.531,-25
110,1.097,1.395,-26
111,1.101,1.258,-36
112,1.097,1.121,-22
113,1.125,1.032,-29
114,1.101,0.899,-26
115,1.103,0.76,-22
116,1.097,0.626,-19
117,1.123,0.539,-19
118,1.099,0.408,-20
119,1.087,0.269,-18
120,1.168,0.224,-28
121,1.262,0.274,-23
122,1.253,0.416,-16
123,1.23,0.55,-18
124,1.254,0.637,-19
125,1.251,0.775,-25
126,1.254,0.91,-25
127,1.248,1.053,-25
128,1.254,1.132,-30
129,1.244,1.283,-33
130,1.236,1.419,-24
131,1.236,1.551,-23
132,1.273,1.64,-27
133,1.245,1.776,-24
134,1.247,1.915,-29
135,1.243,2.006,-30
136,1.24,2.147,-29
137,1.239,2.286,-24
138,1.25,2.425,-29
139,1.219,2.511,-28
140,1.301,2.58,-32
141,1.38,2.518,-28
142,1.369,2.38,-28
143,1.39,2.288,-27
144,1.371,2.149,-26
145,1.376,2.01,-28
146,1.371,1.874,-25
147,1.39,1.784,-28
148,1.364,1.648,-24
149,1.357,1.508,-29
150,1.37,1.37,-29
151,1.39,1.281,-25
152,1.374,1.15,-27
153,1.37,1.01,-41
154,1.376,0.869,-25
155,1.364,0.781,-25
156,1.38,0.644,-27
157,1.377,0.504,-29
158,1.391,0.406,-23
159,1.363,0.282,-40
160,1.454,0.208,-17
161,1.513,0.274,-24
162,1.519,0.41,-26
163,1.501,0.545,-26
164,1.511,0.679,-26
165,1.532,0.77,-24
166,1.517,0.905,-32
167,1.526,1.036,-27
168,1.511,1.17,-39
169,1.527,1.295,-29
170,1.5,1.415,-52
171,1.523,1.546,-32
172,1.511,1.673,-44
173,1.527,1.797,-35
174,1.504,1.914,-26
175,1.53,2.036,-31
176,1.499,2.16,-39
177,1.52,2.296,-27
178,1.499,2.381,-31
179,1.518,2.527,-28
180,1.599,2.593,-31
181,1.672,2.528,-28
182,1.641,2.402,-30
183,1.647,2.262,-26
184,1.635,2.124,-27
185,1.647,2.031,-38
186,1.644,1.89,-33
187,1.646,1.751,-34
188,1.636,1.66,-30
189,1.642,1.523,-24
190,1.635,1.385,-28
191,1.644,1.246,-29
192,1.648,1.155,-47
193,1.635,1.014,-34
194,1.63,0.877,-32
195,1.652,0.79,-26
196,1.638,0.652,-28
197,1.643,0.515,-26
198,1.649,0.378,-25
199,1.63,0.283,-35
200,1.706,0.205,-21
201,1.779,0.276,-24
202,1.787,0.42,-35
203,1.802,0.513,-27
204,1.788,0.652,-28
205,1.794,0.79,-28
206,1.786,0.928,-45
207,1.798,1.018,-36
208,1.789,1.16,-28
209,1.79,1.295,-30
210,1.77,1.386,-34
211,1.793,1.513,-23
212,1.786,1.651,-32
213,1.797,1.793,-31
214,1.77,1.883,-46
215,1.787,2.02,-49
