source_x_coordinate,source_y_coordinate
0.315,0.271
waypoint_number,x_coordinate,y_coordinate,signal_strength
0,0.827,0.318,-21
1,0.524,0.508,-6
2,0.505,0.696,-10
3,0.482,0.973,-18
4,0.494,1.208,-19
5,0.51,1.487,-20
6,0.511,1.727,-20
7,0.483,1.956,-27
8,0.488,2.234,-27
9,0.508,2.471,-27
10,0.514,2.498,-27
11,0.731,2.302,-31
12,0.771,2.091,-25
13,0.752,1.808,-32
14,0.762,1.573,-25
15,0.764,1.339,-24
16,0.75,1.066,-24
17,0.768,0.843,-18
18,0.766,0.56,-15
19,0.764,0.328,-15
20,0.764,0.326,-15
21,0.991,0.474,-28
22,1.026,0.702,-23
23,1.033,0.982,-21
24,1.052,1.214,-22
25,1.06,1.451,-26
26,1.057,1.737,-32
27,1.039,1.965,-31
28,1.028,2.198,-27
29,1.058,2.467,-30
30,1.058,2.468,-30
31,1.269,2.293,-40
32,1.315,2.093,-33
33,1.312,1.812,-27
34,1.291,1.579,-29
35,1.306,1.345,-27
36,1.304,1.066,-32
37,1.296,0.824,-28
38,1.273,0.593,-24
39,1.28,0.345,-20
40,1.279,0.344,-20
41,1.548,0.511,-29
42,1.612,0.718,-21
43,1.604,0.948,-34
44,1.6,1.232,-34
45,1.572,1.451,-27
46,1.607,1.7,-29
47,1.608,1.982,-31
48,1.589,2.213,-38
49,1.6,2.448,-34
50,1.599,2.473,-34
51,1.82,2.296,-33
52,1.836,2.095,-30
53,1.828,1.817,-25
54,1.846,1.582,-28
55,1.835,1.35,-39
56,1.854,1.073,-30
57,1.852,0.838,-23
58,1.852,0.604,-23
59,1.85,0.328,-27
60,1.849,0.304,-27
61,2.066,0.479,-37
62,2.135,0.709,-24
63,2.145,0.994,-30
64,2.127,1.227,-31
65,2.127,1.457,-26
66,2.143,1.734,-27
67,2.148,1.967,-38
68,2.117,2.199,-29
69,2.132,2.484,-38
70,2.134,2.507,-38
71,2.346,2.319,-33
72,2.365,2.078,-38
73,2.39,1.829,-34
74,2.376,1.595,-27
75,2.4,1.314,-29
76,2.395,1.084,-28
77,2.395,0.85,-25
78,2.391,0.57,-37
79,2.365,0.337,-29
80,2.375,0.314,-29
81,2.645,0.459,-26
82,2.679,0.7,-25
83,2.686,0.981,-33
84,2.674,1.217,-27
85,2.686,1.448,-25
86,2.662,1.731,-32
87,2.672,1.964,-26
88,2.685,2.196,-40
89,2.654,2.481,-30
90,2.65,2.503,-30
91,2.875,2.293,-35
92,2.951,2.055,-31
93,2.948,1.821,-33
94,2.917,1.592,-25
95,2.932,1.314,-29
96,2.945,1.082,-31
97,2.926,0.851,-25
98,2.942,0.572,-31
99,2.927,0.346,-39
