source_x_coordinate,source_y_coordinate
1.614,1.422
waypoint_number,x_coordinate,y_coordinate,signal_strength
242,2.062,0.393,-36
243,2.057,0.531,-20
244,2.056,0.663,-24
245,2.068,0.797,-21
246,2.05,0.925,-18
247,2.074,1.018,-18
248,2.056,1.154,-19
249,2.063,1.292,-16
250,2.063,1.382,-19
251,2.058,1.521,-17
252,2.069,1.655,-12
253,2.06,1.79,-15
254,2.067,1.924,-14
255,2.038,2.012,-18
256,2.066,2.141,-22
257,2.052,2.278,-19
258,2.06,2.409,-20
259,2.053,2.512,-19
260,2.114,2.591,-28
261,2.199,2.536,-19
262,2.191,2.397,-20
263,2.191,2.259,-19
264,2.178,2.123,-19
265,2.181,2.035,-19
266,2.197,1.902,-19
267,2.182,1.764,-22
268,2.19,1.624,-18
269,2.189,1.532,-16
270,2.184,1.395,-12
271,2.176,1.258,-17
272,2.189,1.122,-16
273,2.179,1.026,-18
274,2.19,0.89,-18
275,2.18,0.752,-18
276,2.19,0.616,-22
277,2.188,0.54,-26
278,2.195,0.388,-24
279,2.189,0.255,-20
280,2.262,0.185,-26
281,2.327,0.3,-17
282,2.303,0.388,-20
283,2.338,0.515,-23
284,2.33,0.648,-26
285,2.346,0.784,-15
286,2.335,0.919,-22
287,2.345,1.011,-18
288,2.333,1.145,-21
289,2.341,1.286,-20
290,2.331,1.422,-20
291,2.336,1.514,-18
292,2.333,1.654,-22
293,2.33,1.793,-17
294,2.313,1.882,-19
295,2.326,2.015,-18
296,2.324,2.153,-22
297,2.332,2.291,-22
298,2.321,2.382,-20
299,2.335,2.522,-20
300,2.42,2.578,-23
301,2.456,2.516,-22
302,2.452,2.383,-24
303,2.459,2.242,-26
304,2.446,2.153,-27
305,2.469,2.02,-34
306,2.461,1.885,-30
307,2.463,1.756,-22
308,2.447,1.663,-23
309,2.459,1.524,-20
310,2.458,1.385,-19
311,2.462,1.25,-20
312,2.443,1.163,-23
313,2.457,1.023,-17
314,2.454,0.885,-26
315,2.463,0.745,-21
316,2.464,0.668,-26
317,2.471,0.515,-29
318,2.468,0.38,-20
319,2.449,0.289,-29
320,2.522,0.203,-21
321,2.598,0.297,-25
322,2.581,0.388,-27
323,2.603,0.524,-24
324,2.601,0.661,-22
325,2.608,0.8,-24
326,2.606,0.896,-23
327,2.6,1.029,-32
328,2.598,1.163,-25
329,2.611,1.296,-23
330,2.591,1.426,-28
331,2.62,1.511,-23
332,2.604,1.643,-29
333,2.612,1.781,-24
334,2.603,1.915,-27
335,2.612,2.047,-23
336,2.6,2.176,-24
337,2.634,2.263,-23
338,2.609,2.394,-29
339,2.611,2.53,-39
340,2.674,2.594,-28
341,2.75,2.528,-23
342,2.732,2.396,-25
343,2.727,2.258,-26
344,2.723,2.119,-26
345,2.743,2.028,-24
346,2.733,1.894,-23
347,2.736,1.76,-25
348,2.731,1.624,-40
349,2.76,1.536,-30
350,2.733,1.403,-26
351,2.742,1.266,-36
352,2.733,1.127,-24
353,2.747,1.037,-39
354,2.731,0.903,-20
355,2.736,0.769,-31
356,2.729,0.635,-24
357,2.744,0.499,-24
358,2.721,0.408,-21
359,2.731,0.273,-24
360,2.809,0.211,-24
361,2.883,0.29,-24
362,2.871,0.421,-25
363,2.888,0.512,-29
364,2.876,0.644,-27
365,2.883,0.785,-20
366,2.875,0.917,-30
367,2.883,1.052,-29
368,2.853,1.14,-31
369,2.882,1.273,-34
370,2.867,1.406,-31
371,2.878,1.543,-29
372,2.868,1.636,-23
373,2.879,1.776,-24
374,2.88,1.915,-35
375,2.878,2.007,-38
376,2.873,2.145,-28
377,2.866,2.279,-25
378,2.878,2.419,-23
379,2.868,2.511,-31
380,2.93,2.592,-31
381,3.014,2.533,-23
382,3.009,2.398,-30
383,3.007,2.259,-25
384,2.998,2.131,-27
385,3.014,2.033,-26
386,3.001,1.893,-26
387,2.998,1.758,-32
388,3.007,1.623,-26
389,3.022,1.535,-29
390,3.006,1.398,-27
391,3.007,1.264,-35
392,2.997,1.126,-30
393,3.009,1.035,-27
394,2.999,0.894,-24
395,2.995,0.756,-24
396,2.982,0.662,-30
397,3.002,0.532,-33
398,2.999,0.393,-39
399,3.007,0.26,-26
