source_x_coordinate,source_y_coordinate
1.49,1.102
waypoint_number,x_coordinate,y_coordinate,signal_strength
0,0.621,0.395,-21
1,0.592,0.734,-23
2,0.602,1.134,-21
3,0.606,1.533,-19
4,0.594,1.984,-22
5,0.6,2.384,-25
6,0.979,2.435,-23
7,1.029,2.057,-20
8,1.026,1.643,-20
9,1.019,1.225,-18
10,1.029,0.81,-14
11,1.017,0.398,-21
12,1.437,0.318,-21
13,1.516,0.742,-36
14,1.241,1.162,-5
15,1.456,1.556,-15
16,1.488,1.954,-20
17,1.501,2.374,-21
18,1.908,2.418,-25
19,1.93,2.1,-30
20,1.935,1.646,-15
21,1.935,1.237,-13
22,1.948,0.825,-18
23,1.941,0.412,-29
24,2.344,0.354,-34
25,2.415,0.705,-19
26,2.435,1.123,-14
27,2.412,1.574,-20
28,2.414,1.982,-22
29,2.402,2.382,-25
30,2.774,2.437,-25
31,2.848,2.06,-25
32,2.849,1.65,-23
33,2.847,1.239,-33
34,2.84,0.821,-23
35,2.832,0.413,-35
