source_x_coordinate,source_y_coordinate
1.496,1.271
waypoint_number,x_coordinate,y_coordinate,signal_strength
0,0.505,0.313,-25
1,0.506,0.456,-26
2,0.5,0.733,-24
3,0.503,0.964,-24
4,0.504,1.197,-35
5,0.511,1.475,-18
6,0.505,1.709,-23
7,0.507,1.988,-24
8,0.505,2.218,-28
9,0.505,2.449,-35
10,0.725,2.504,-30
11,0.753,2.307,-25
12,0.753,2.077,-28
13,0.754,1.844,-28
14,0.748,1.573,-27
15,0.757,1.343,-18
16,0.748,1.066,-23
17,0.747,0.834,-17
18,0.752,0.603,-25
19,0.745,0.326,-21
20,0.976,0.248,-23
21,1.06,0.489,-22
22,1.054,0.718,-14
23,1.048,0.948,-15
24,1.046,1.226,-27
25,1.045,1.455,-20
26,1.049,1.736,-20
27,1.049,1.964,-19
28,1.046,2.198,-28
29,1.045,2.487,-23
30,1.266,2.527,-25
31,1.318,2.324,-24
32,1.305,2.093,-24
33,1.294,1.816,-31
34,1.298,1.582,-14
35,1.043,1.309,-17
36,1.24,1.031,-11
37,1.289,0.801,-14
38,1.319,0.599,-20
39,1.311,0.324,-27
40,1.313,0.303,-27
41,1.557,0.458,-28
42,1.601,0.727,-22
43,1.343,1.018,-6
44,1.32,1.218,-7
45,1.273,1.456,-12
46,1.544,1.728,-18
47,1.599,1.946,-17
48,1.569,2.219,-21
49,1.582,2.455,-29
50,1.585,2.472,-29
51,1.807,2.311,-27
52,1.852,2.055,-26
53,1.853,1.828,-18
54,1.85,1.595,-21
55,1.87,1.333,-12
56,1.861,1.059,-17
57,1.84,0.828,-18
58,1.854,0.599,-24
59,1.867,0.321,-23
60,1.866,0.303,-23
61,2.081,0.474,-18
62,2.153,0.709,-17
63,2.151,0.989,-13
64,2.136,1.222,-11
65,2.129,1.451,-14
66,2.147,1.719,-17
67,2.15,1.951,-22
68,2.125,2.224,-30
69,2.128,2.456,-21
70,2.124,2.485,-21
71,2.345,2.315,-28
72,2.394,2.064,-21
73,2.386,1.833,-17
74,2.377,1.561,-25
75,2.376,1.338,-19
76,2.375,1.061,-27
77,2.359,0.829,-18
78,2.369,0.596,-27
79,2.399,0.352,-22
80,2.402,0.33,-22
81,2.645,0.485,-23
82,2.681,0.709,-19
83,2.656,0.971,-28
84,2.69,1.219,-23
85,2.684,1.448,-25
86,2.689,1.727,-25
87,2.686,1.961,-37
88,2.692,2.24,-22
89,2.691,2.475,-25
90,2.691,2.499,-25
91,2.908,2.291,-33
92,2.948,2.09,-30
93,2.947,1.816,-26
94,2.924,1.586,-24
95,2.919,1.311,-28
96,2.909,1.079,-23
97,2.932,0.848,-25
98,2.917,0.574,-36
99,2.935,0.345,-26
